GeneID,4EFB,5408,5728,5B57,56E0,5411
0.4_5408_5408.03.1.gene,5.867256997038336e-27,0.4081856099204371,7.564069740405479e-06,1.518075594798627e-09,1.673315638718811e-18,3.662754933392914e-09
0.4_5408_5408.03.10.gene,1.221378839949771e-27,0.4063468278378515,0.0002147324724955964,4.062236673594657e-09,1.242314036184576e-20,0.0002154938686498286
0.4_5408_5408.03.100.gene,0.0004315749754721813,0.4419552962287632,2.309962467860855e-05,1.427390149065728e-08,3.210315653402556e-08,0.0001032957157381983
0.4_5408_5408.03.101.gene,0.0002379947395104942,0.4065595042917796,0.000132432021508666,6.201423405900858e-08,1.129731812800878e-06,0.001602393878294301
0.4_5408_5408.03.102.gene,1.141972169075771e-25,0.4130697373524443,7.333511979214654e-05,4.050396398606752e-09,3.975120303138548e-18,6.487350945077374e-08
0.4_5408_5408.03.103.gene,3.433545829998478e-21,0.4086514871341989,0.0002087245474778934,1.708671564074973e-08,1.451589707435986e-15,8.21725026442944e-06
0.4_5408_5408.03.104.gene,1.237839201481664e-24,0.4006396070859992,5.249365829425789e-05,2.264260245941326e-09,5.538119521331163e-19,4.066059353512658e-08
0.4_5408_5408.03.105.gene,0.0001882602736571018,0.4086903934668802,6.761345583165652e-05,4.867969100306915e-08,2.078217976670093e-05,0.0002505812198938778
0.4_5408_5408.03.106.gene,0.0003588268485826496,0.4180665908365019,8.358446157689173e-05,9.07069695870667e-08,1.211925630099742e-05,0.0004585108412940286
0.4_5408_5408.03.107.gene,0.0004873639466485732,0.4209430946689525,4.652733038569809e-05,6.873847972196434e-08,1.453814777220999e-06,0.0003372079626698839
0.4_5408_5408.03.108.gene,0.0002092213112949835,0.4260067148608924,0.0003574460601622982,3.65795734568889e-08,2.25581871431727e-05,0.0008378190673183643
0.4_5408_5408.03.109.gene,3.320071597181491e-08,0.4029914004382311,8.524736408357379e-05,2.643889000409105e-09,5.762580550446704e-17,0.0003434057590858897
0.4_5408_5408.03.11.gene,1.367783027017832e-29,0.4003597133077814,9.356368702155324e-05,2.822374376260899e-08,7.492399603612434e-19,1.903100961956598e-05
