4EFB,5408,5728,5B57,56E0,5411
5.247306321282118e-05,8.720769665618624e-05,1.34589127820632e-07,0.0004067139957615899,2.403291333429479e-06,0.06072839442228205
1.536456008729809e-07,6.185104852084845e-16,1.032368223909071e-06,6.725407335934114e-10,9.487738206811924e-05,0.0765648828601584
2.50275567831462e-05,2.365650279281541e-12,2.847529949523454e-09,3.841747012502383e-07,4.734788839778969e-06,0.05617833513332314
0.0002428637522676941,2.208712304724149e-08,1.125773993009448e-08,0.0003821300665974322,3.03466616322721e-06,0.05820969751353538
2.295512120564173e-05,6.405513510490355e-08,5.031758180723501e-11,5.202440664512737e-12,4.031047441820668e-05,0.05842066304403116
1.67549630372132e-05,9.50618709863825e-10,5.831751804698632e-07,3.329312555245766e-09,1.333709614467764e-07,0.05556909570306844
8.966945279790358e-05,1.356773829643322e-05,2.698012175830594e-10,3.804792122298136e-05,2.137911288573055e-05,0.00752750018452263
0.0001111712397645708,3.260861211634279e-09,1.596564066066209e-07,1.898871221164319e-11,6.749650095124194e-06,0.05096166683506434
0.0001783172368302459,4.485506150887668e-08,2.754465983353505e-09,1.446008850250716e-15,5.868102740673559e-06,0.02704721537010731
2.527843113840648e-07,2.486563497989172e-16,5.676795457564473e-07,8.37995875611009e-14,1.214248475827918e-05,0.05681894949498505
3.172842318721054e-05,3.684378788200294e-05,2.067377641015281e-07,0.001639262359276563,8.814902393380623e-07,0.05169722344222177
1.63519310627712e-05,2.149858926458053e-10,7.083403359929476e-07,2.604350963827029e-14,1.939846115449437e-08,0.05221745519707764
2.991352033298585e-11,4.156437933392568e-05,5.93068566837134e-10,9.15988394205563e-31,1.100532037834418e-05,0.05095075628595051
0.0002278446445486985,2.595235934069343e-07,7.98343163768345e-07,2.117850447188317e-11,4.996241338398128e-05,0.05693519033620968
1.093479656700536e-05,1.550291817772296e-08,8.191027368604054e-08,2.010676455337088e-06,3.487763533480615e-07,0.05514416551309381
9.856656124708494e-07,2.940996164736149e-12,2.400672129086971e-06,3.587890384803817e-11,0.0001663672694110878,0.05554860510128547
5.077139809061944e-07,7.445045419650045e-17,1.353325541954436e-06,2.136300041472801e-11,1.306271816834042e-06,0.06044520891544054
3.549005381724132e-07,6.117412308170333e-18,5.900829582169258e-06,3.831231961837795e-12,1.238998251555364e-06,0.05829233553819989
0.0002946010808152274,2.127520855724133e-06,1.720440048532565e-08,5.853297261368114e-15,1.684899851044253e-07,0.05458257401758867
1.743726479211311e-05,2.063248406192622e-07,9.046485770274087e-07,3.094122588599385e-11,7.707614100109593e-06,0.0627683216809339
1.714326923883075e-05,2.850928744072891e-05,3.34336759554476e-07,2.627159963972046e-10,4.970360509605942e-06,0.05316162703008152
9.93580640998117e-06,2.366907295220021e-08,8.870459501228293e-08,2.391760395816911e-08,7.266112796040381e-06,0.0634942246762544
2.262119806597684e-07,3.286096594013293e-15,2.090180685374836e-11,9.246363434307777e-45,3.421319263823916e-07,0.05628704528410823
1.888860423538143e-06,2.425262668193836e-09,3.044928353554225e-06,1.828029603871594e-08,4.660794080736694e-07,0.05266126616083205
7.63396806235633e-09,6.194833869632506e-10,3.289275897973678e-06,1.574422650333799e-08,1.087354927123255e-05,0.05638558836995723
7.400584739506975e-06,1.566586955956728e-13,4.631264319395824e-07,1.041599262525293e-12,9.159458996704119e-06,0.0002902338997066687
4.340540743139464e-05,2.054537954152259e-08,1.103158986516354e-08,1.529634614853223e-20,3.209603447051619e-06,0.06637082360300607
