4EFB,5408,5728,5B57,56E0,5411
5.230621411377352e-10,9.426979122342023e-20,7.232737808928978e-09,0.05095181817360883,5.818774851265678e-06,2.005762451945604e-07
1.156026915788254e-11,6.954981326639873e-11,5.691452888150586e-09,0.05427731762924873,3.932999095276596e-07,9.944395943415841e-06
0.0004315945925980872,8.803320752987385e-16,9.653560064436931e-06,0.05329082079898294,1.644963023552271e-07,0.001764505597240222
2.58959412877774e-11,4.822344994685647e-09,2.631542735233053e-08,0.05051737285095962,5.385136161354529e-11,0.0002452906565215812
4.497506765666542e-22,3.022141400208523e-13,1.88808948501068e-10,0.06082049106480997,1.212004730323165e-05,1.926482913584095e-08
2.382077976866562e-06,4.236529965416244e-07,1.329379580458185e-07,0.05022691442166852,1.179011585197955e-08,2.237876913560632e-06
5.208531568194183e-12,1.259872555482872e-26,2.552831173362023e-16,0.0510839961252092,2.670968462465175e-10,7.473669367568897e-08
8.454780497801702e-10,2.304621652724777e-11,1.65564485510116e-09,0.05205630216808035,1.606937448200778e-09,1.270994353013963e-06
1.333798358628056e-07,1.058287084447456e-12,8.876266787240116e-08,0.1087394408099962,4.957277542154936e-06,7.841947418575167e-06
6.469862305774618e-08,4.346024321140189e-09,1.509508946495168e-07,1.261880456785109e-30,1.699271832735512e-07,5.131710668929953e-05
6.425947704954051e-10,9.40839256877991e-12,2.610721541387836e-08,0.05386295650766938,3.593962853578405e-12,7.494391164009078e-07
0.0001159947437082699,0.001342665319777468,1.328324945724711e-06,0.06413788915509375,1.652016177389649e-08,0.0001156747567148896
9.768823248959094e-10,2.137557108264138e-17,2.202833306526861e-07,0.05154576330509274,3.9433599080396e-07,8.095093578098303e-06
5.557277705683139e-07,7.873958679419285e-07,7.849779712435332e-09,0.05158422576646167,1.629445302742241e-12,1.24817256897654e-08
3.539154463958004e-05,8.63228509579602e-06,1.368621673889741e-05,0.05772566683485091,1.040505858541363e-06,5.447957273802378e-05
2.499477148779713e-10,3.865269072858896e-11,3.352428971814887e-07,0.0533404643108557,1.336685800227599e-09,6.900102782343475e-07
3.752662543292659e-09,3.015452613940477e-08,2.010574835337542e-08,0.07175734193102515,6.012325847575844e-11,0.0001108683286416231
1.033172113127819e-06,1.793048655230421e-12,3.102374752147674e-05,0.05121133144123858,1.759325271018271e-06,1.669740668478477e-06
4.66254080350752e-11,1.790772976023772e-09,5.980809022976893e-12,0.05107188987434937,9.712182207596054e-09,5.972247093052188e-08
2.422186373374899e-10,1.194417710246251e-11,1.678302266026472e-09,0.05103432150139113,1.406949035361017e-08,1.460525924878344e-07
3.86331251375256e-10,1.290148959277019e-07,1.505875459324316e-10,0.05766025872554785,1.637925803216284e-06,4.938938034641899e-05
3.341789270167952e-15,4.586969933496998e-12,4.915711871161891e-09,0.05038856876635655,6.959961860779358e-08,1.282974302372931e-05
3.74791876327202e-05,3.277378624511477e-06,2.374777072127523e-06,0.05690850621019508,2.332714072574553e-07,2.283358375464549e-07
1.175688054689457e-07,2.566136084950219e-11,1.339295998923255e-08,0.05164226536332608,2.098862163594398e-06,2.709862533125344e-08
4.797730430689792e-07,3.86139193333066e-10,1.231127420363411e-10,0.05585780396030238,2.834359164335306e-07,1.669302322046679e-07
0.0001204112015307834,7.612024443037446e-07,2.084869139133201e-06,0.05395818564525303,1.126141583997237e-06,1.634281757067375e-07
4.021249710786746e-06,1.678780171770773e-07,5.371334302826144e-08,0.05080673812998135,3.783949144414138e-07,4.609273750209603e-05
7.55342280331685e-09,3.493031496419366e-07,1.280337365584115e-07,0.05464092529008681,5.500224249417951e-06,1.448291547750961e-05
2.07772924340738e-10,2.4017487161905e-09,1.448618170460173e-08,0.05648524904709248,5.725558193930771e-08,1.264354144337882e-06
9.202652348316676e-06,1.141423755908344e-07,4.842077497744e-06,0.0582762832669449,3.778686097156705e-11,1.476650630305139e-06
0.0004639544261524945,2.469470979338003e-11,2.868663207543428e-07,0.06453697301111126,1.649163261497437e-06,5.162461450531415e-05
4.008669879602659e-08,2.055473495943254e-13,1.523222138592407e-11,0.05436075859389448,5.381321923926896e-08,9.765350035319606e-10
1.594888604203397e-07,8.922079667778905e-05,1.47877830540879e-07,0.05007723020749352,1.158530931827451e-08,6.454892817457773e-06
3.820337236872408e-05,3.377050245433614e-10,6.737837624138365e-06,0.06391483024044185,6.458465437831396e-06,5.583986696062687e-07
4.760445387898346e-05,1.819366854572543e-10,9.29930418236895e-08,0.05280273938492364,3.116446632445481e-05,1.813215523829001e-07
2.193795827349438e-05,1.46510496619729e-15,1.183334132303465e-15,0.05461544719687342,5.885735383461502e-22,2.275637833805744e-10
2.35481197292807e-08,9.161159466323406e-09,2.270771675259417e-08,0.05703516860344664,5.148313540363468e-07,0.0001287141781818245
6.167127271667471e-10,3.909099938977927e-16,3.057409877391258e-09,0.05357230902350201,1.22191717011178e-06,6.213784339349334e-07
1.969557762215707e-06,4.548221114405067e-08,3.289540050124555e-10,0.05360185741567319,2.104664181607838e-09,2.217180201143467e-06
0.000115840957700194,2.326221321003809e-12,1.109063624436002e-08,0.0528043104164373,7.95372963195997e-08,7.63912766533831e-07
4.984134709471256e-14,3.174317756772928e-18,6.371751851951651e-10,0.05271753919841467,9.730530994828564e-20,6.936933679521859e-05
1.155272730578878e-07,4.207669924563633e-09,2.195182861301219e-07,0.05127101666555878,1.63521545147157e-07,7.00991415973828e-10
1.736970830800165e-11,5.991755142274925e-08,1.355506731278869e-07,0.05092254685175436,8.766692487216347e-09,1.814014879635512e-07
0.0001427581542560488,3.872929669676017e-10,3.990726738228208e-06,0.05227785302606545,3.19557960328174e-09,2.074517882298106e-05
2.018635223937979e-06,8.783389287755692e-12,0.0001644610067811808,0.06444303640248845,7.611667972017409e-07,1.061274297011465e-06
1.384149872860181e-09,3.658231160548059e-11,1.885287067175951e-07,0.06314773638244643,5.852080720753142e-05,3.942676645823724e-06
5.255901816956994e-11,2.589411183443609e-06,2.008931940794543e-09,0.06031844658295311,2.76902904055738e-07,1.499508112779044e-06
3.800773118086701e-11,8.559728235581064e-11,2.536566373008633e-08,0.05520963059752248,7.983381559556557e-06,4.473462326355912e-06
4.786971216921809e-07,2.486838087544623e-06,2.020059039667498e-08,0.05738750669216018,6.660956837511785e-08,1.513512092341636e-05
